Source_System,Task_ID,Asset_ID,City,Track_Section,Asset_Type,Asset_Condition,Health_Score,Issue_Type,Severity,Last_Maintenance_Date,Next_Due_Date,Estimated_Duration_Minutes,Maintenance_Status,Asset_Criticality,Safety_Impact,Location_KM,Recent_Fault_Count,Failure_History_Count,Work_Order_ID,Train_ID,Train_Name,Train_Type,Train_Priority,Train_Start_Time,Train_End_Time,Direction
TMS,TMS-0001,TRK-0001,Khadki,Pune Jn-Shivajinagar,Loop Line Track,Fair,69,Sleeper Damage,Low,2026-07-12,2026-09-11,85,Pending,Medium,Medium,25.5,0,9,TMS-WO-0001,TR-0127,Deccan Express,Passenger,High,15:20,17:42,UP
TMS,TMS-0002,TRK-0002,Loni,Dehu Road-Talegaon,Platform Track,Critical,25,Alignment Issue,Medium,2026-07-08,2026-07-30,98,Pending,High,Medium,46.5,1,4,TMS-WO-0002,TR-0147,Deccan Express,Passenger,High,02:16,04:19,UP
TMS,TMS-0003,TRK-0003,Dehu Road,Shivajinagar-Khadki,Yard Track,Fair,58,Gauge Variation,Medium,2026-08-10,2026-09-14,113,Scheduled,High,High,18.5,4,2,TMS-WO-0003,TR-0058,Local,Express,High,18:18,20:30,DOWN
TMS,TMS-0004,TRK-0004,Khadki,Manjari-Loni,Loop Line Track,Poor,50,Gauge Variation,Medium,2026-07-21,2026-08-15,99,Scheduled,Critical,Medium,3.5,6,7,TMS-WO-0004,TR-0110,Sinhagad Express,Superfast,Medium,19:31,20:37,DOWN
TMS,TMS-0005,TRK-0005,Shivajinagar,Dehu Road-Talegaon,Main Line Track,Excellent,96,Rail Wear,Low,2026-07-26,2026-08-20,176,Scheduled,High,High,8.0,2,1,TMS-WO-0005,TR-0062,Sinhagad Express,Passenger,Low,19:45,20:46,DOWN
TMS,TMS-0006,TRK-0006,Loni,Manjari-Loni,Platform Track,Fair,58,Rail Crack,Medium,2026-07-29,2026-08-28,116,In Progress,Critical,High,35.4,5,2,TMS-WO-0006,TR-0029,Local,Passenger,High,07:17,09:08,UP
TMS,TMS-0007,TRK-0007,Pune Jn,Dapodi-Kasarwadi,Loop Line Track,Critical,27,Corrosion,High,2026-07-30,2026-09-10,142,Pending,Medium,Medium,44.2,5,4,TMS-WO-0007,TR-0064,Deccan Express,Superfast,Critical,15:38,18:00,UP
TMS,TMS-0008,TRK-0008,Talegaon,Akurdi-Dehu Road,Yard Track,Excellent,91,Sleeper Damage,Medium,2026-07-20,2026-09-28,118,Scheduled,Medium,High,17.7,0,1,TMS-WO-0008,TR-0105,Pune-Mumbai Express,Passenger,High,01:42,03:32,DOWN
TMS,TMS-0009,TRK-0009,Akurdi,Khadki-Dapodi,Yard Track,Critical,15,Rail Wear,Medium,2026-07-24,2026-09-30,85,Pending,High,Medium,48.9,2,10,TMS-WO-0009,TR-0071,Local,Express,Critical,09:53,12:03,DOWN
TMS,TMS-0010,TRK-0010,Chinchwad,Ghorpuri-Hadapsar,Loop Line Track,Good,86,Corrosion,High,2026-07-18,2026-09-19,149,Scheduled,Low,High,63.6,0,8,TMS-WO-0010,TR-0047,Pune-Mumbai Express,Superfast,Critical,06:20,08:40,DOWN
TMS,TMS-0011,TRK-0011,Ghorpuri,Shivajinagar-Khadki,Loop Line Track,Poor,35,Ballast Deficiency,Medium,2026-07-10,2026-07-31,115,Pending,High,High,34.5,2,5,TMS-WO-0011,TR-0114,Sinhagad Express,Local,High,16:01,18:42,UP
TMS,TMS-0012,TRK-0012,Vadgaon,Loni-Uruli,Platform Track,Excellent,100,Alignment Issue,Medium,2026-07-02,2026-07-18,101,Pending,Critical,Low,52.1,1,0,TMS-WO-0012,TR-0148,Pune-Mumbai Express,Passenger,Medium,01:52,04:12,DOWN
TMS,TMS-0013,TRK-0013,Loni,Chinchwad-Akurdi,Platform Track,Excellent,90,Rail Crack,Medium,2026-08-09,2026-10-20,111,Pending,High,Medium,18.9,0,3,TMS-WO-0013,TR-0023,Passenger,Passenger,Medium,11:13,13:50,DOWN
