Source_System,Task_ID,Asset_ID,City,Track_Section,Asset_Type,Asset_Condition,Health_Score,Issue_Type,Severity,Last_Maintenance_Date,Next_Due_Date,Estimated_Duration_Minutes,Maintenance_Status,Asset_Criticality,Safety_Impact,Location_KM,Recent_Fault_Count,Failure_History_Count,Work_Order_ID
SMMS,TASK-0001,SIG-PUNE-0001,Khadki,Pune Jn-Shivajinagar,Panel Interlocking,Good,77,Cable Fault,High,2026-08-10,2027-02-06,30,Scheduled,Low,None,7.65,4,13,WO-2026-1434
SMMS,TASK-0002,SIG-PUNE-0002,Loni,Dehu Road-Talegaon,Level Crossing Interlocking,Fair,50,Axle Counter Reset Error,High,2026-08-21,2026-12-19,120,Completed,Medium,Medium,3.58,3,4,WO-2026-6881
SMMS,TASK-0003,SIG-PUNE-0003,Dehu Road,Shivajinagar-Khadki,Panel Interlocking,Fair,53,Communication Link Failure,Low,2026-01-26,2026-07-25,120,Scheduled,High,Medium,23.14,6,10,WO-2026-2307
SMMS,TASK-0004,SIG-PUNE-0004,Khadki,Manjari-Loni,Block Instrument,Fair,61,Cable Fault,Medium,2025-12-14,2026-03-14,30,In Progress,Low,None,5.72,3,7,WO-2026-4598
SMMS,TASK-0005,SIG-PUNE-0005,Shivajinagar,Dehu Road-Talegaon,EI (Electronic Interlocking) Server,Excellent,95,Communication Link Failure,Low,2025-12-15,2026-06-13,120,Pending,Medium,Medium,5.0,1,4,WO-2026-9830
SMMS,TASK-0006,SIG-PUNE-0006,Loni,Manjari-Loni,Route Relay Interlocking (RRI),Good,74,Interlocking Logic Fault,Medium,2025-09-22,2025-10-22,45,In Progress,High,High,20.87,3,9,WO-2026-8668
SMMS,TASK-0007,SIG-PUNE-0007,Pune Jn,Dapodi-Kasarwadi,Block Proving Axle Counter (BPAC),Poor,49,Power Supply Interruption,High,2026-02-19,2026-03-21,90,Scheduled,Medium,Medium,34.02,6,8,WO-2026-9317
SMMS,TASK-0008,SIG-PUNE-0008,Talegaon,Akurdi-Dehu Road,Axle Counter,Good,75,Interlocking Logic Fault,Critical,2026-05-27,2026-06-26,120,Scheduled,Low,Low,30.76,6,10,WO-2026-4923
SMMS,TASK-0009,SIG-PUNE-0009,Akurdi,Khadki-Dapodi,Point Machine,Poor,51,Point Failure,Critical,2026-05-28,2026-07-27,45,In Progress,Critical,High,9.28,6,15,WO-2026-7932
SMMS,TASK-0010,SIG-PUNE-0010,Chinchwad,Ghorpuri-Hadapsar,LED Signal Unit,Critical,20,Track Circuit Failure,Medium,2026-05-20,2026-09-17,30,Completed,Low,None,20.59,1,10,WO-2026-4608
SMMS,TASK-0011,SIG-PUNE-0011,Ghorpuri,Shivajinagar-Khadki,Track Circuit,Excellent,86,No Fault Found (Routine Check),Medium,2026-05-19,2026-07-18,90,In Progress,Medium,Low,25.32,4,13,WO-2026-8744
SMMS,TASK-0012,SIG-PUNE-0012,Vadgaon,Loni-Uruli,Track Circuit,Excellent,98,Track Circuit Failure,Medium,2026-04-25,2026-05-25,30,In Progress,Medium,Low,8.7,1,9,WO-2026-8350
SMMS,TASK-0013,SIG-PUNE-0013,Loni,Chinchwad-Akurdi,Block Instrument,Fair,52,LED Lamp Failure,High,2026-06-06,2026-07-06,15,In Progress,High,Medium,33.91,6,9,WO-2026-3724
SMMS,TASK-0014,SIG-PUNE-0014,Vadgaon,Pune Jn Yard,Track Circuit,Poor,53,Signal Aspect Failure,Low,2025-08-30,2025-12-28,90,Overdue,High,High,14.81,5,13,WO-2026-8973
SMMS,TASK-0015,SIG-PUNE-0015,Chinchwad,Ghorpuri-Hadapsar,Track Circuit,Critical,18,Earthing Fault,Medium,2026-02-05,2026-03-07,15,Scheduled,Medium,Low,1.99,4,5,WO-2026-4044
SMMS,TASK-0016,SIG-PUNE-0016,Ghorpuri,Dehu Road-Talegaon,LED Signal Unit,Excellent,92,Preventive Maintenance Due,Medium,2026-07-12,2026-08-11,180,In Progress,High,High,32.71,1,11,WO-2026-6147
