Source_System,Task_ID,Asset_ID,City,Track_Section,Asset_Type,Asset_Condition,Health_Score,Issue_Type,Severity,Last_Maintenance_Date,Next_Due_Date,Estimated_Duration_Minutes,Maintenance_Status,Asset_Criticality,Safety_Impact,Location_KM,Recent_Fault_Count,Failure_History_Count,Work_Order_ID,Fault_Status,Power_Shutdown_Required
TDMS,TDMS-0001,OHE-0001,Khadki,Pune Jn-Shivajinagar,OHE,Good,80,Section Insulator Damage,High,2026-07-24,2026-08-08,60,Scheduled,High,Medium,73.9,0,6,TDMS-WO-0001,Normal,Yes
TDMS,TDMS-0002,OHE-0002,Loni,Dehu Road-Talegaon,Feeder,Excellent,99,Feeder Fault,Critical,2026-07-28,2026-08-30,93,In Progress,High,Medium,31.7,3,6,TDMS-WO-0002,Normal,Yes
TDMS,TDMS-0003,OHE-0003,Dehu Road,Shivajinagar-Khadki,Feeder,Poor,30,Insulator Fault,Medium,2026-07-08,2026-08-22,109,In Progress,Critical,Medium,89.0,3,8,TDMS-WO-0003,Normal,No
TDMS,TDMS-0004,OHE-0004,Khadki,Manjari-Loni,Transformer,Poor,52,Section Insulator Damage,Medium,2026-07-08,2026-09-16,226,Pending,High,High,59.4,1,2,TDMS-WO-0004,Normal,No
TDMS,TDMS-0005,OHE-0005,Shivajinagar,Dehu Road-Talegaon,Transformer,Poor,43,Pantograph Interaction Issue,Medium,2026-07-06,2026-09-03,175,Pending,Critical,Medium,12.6,0,3,TDMS-WO-0005,Warning,Yes
TDMS,TDMS-0006,OHE-0006,Loni,Manjari-Loni,Section Insulator,Poor,33,Pantograph Interaction Issue,High,2026-07-26,2026-09-25,102,Scheduled,High,High,14.4,0,2,TDMS-WO-0006,Normal,No
TDMS,TDMS-0007,OHE-0007,Pune Jn,Dapodi-Kasarwadi,OHE,Fair,61,Pantograph Interaction Issue,High,2026-07-01,2026-08-17,97,Pending,Critical,High,69.3,0,3,TDMS-WO-0007,Active Fault,Yes
TDMS,TDMS-0008,OHE-0008,Talegaon,Akurdi-Dehu Road,Feeder,Fair,66,Contact Wire Damage,Low,2026-07-26,2026-08-16,105,Scheduled,Medium,High,17.3,3,1,TDMS-WO-0008,Normal,Yes
TDMS,TDMS-0009,OHE-0009,Akurdi,Khadki-Dapodi,Traction Substation,Good,79,Section Insulator Damage,Low,2026-07-22,2026-08-29,164,Pending,High,Medium,50.7,0,0,TDMS-WO-0009,Warning,No
TDMS,TDMS-0010,OHE-0010,Chinchwad,Ghorpuri-Hadapsar,OHE,Good,76,OHE Wire Wear,High,2026-07-21,2026-10-03,68,Pending,High,Medium,99.2,6,11,TDMS-WO-0010,Normal,Yes
TDMS,TDMS-0011,OHE-0011,Ghorpuri,Shivajinagar-Khadki,Transformer,Poor,46,Contact Wire Damage,Low,2026-07-31,2026-08-17,212,Pending,High,High,0.4,1,0,TDMS-WO-0011,Warning,Yes
TDMS,TDMS-0012,OHE-0012,Vadgaon,Loni-Uruli,Section Insulator,Fair,68,Contact Wire Damage,High,2026-07-24,2026-09-29,71,Scheduled,High,High,1.7,4,10,TDMS-WO-0012,Warning,Yes
TDMS,TDMS-0013,OHE-0013,Loni,Chinchwad-Akurdi,Feeder,Fair,57,Contact Wire Damage,Medium,2026-08-02,2026-09-27,123,Pending,Critical,High,99.3,4,0,TDMS-WO-0013,Normal,Yes
TDMS,TDMS-0014,OHE-0014,Vadgaon,Pune Jn Yard,Feeder,Poor,37,OHE Wire Wear,Low,2026-08-04,2026-09-05,178,Pending,Critical,High,58.5,3,9,TDMS-WO-0014,Active Fault,No
TDMS,TDMS-0015,OHE-0015,Chinchwad,Ghorpuri-Hadapsar,Feeder,Fair,59,OHE Wire Wear,Critical,2026-08-11,2026-10-11,143,Pending,Medium,High,12.7,6,3,TDMS-WO-0015,Normal,No
TDMS,TDMS-0016,OHE-0016,Ghorpuri,Dehu Road-Talegaon,Feeder,Fair,68,Transformer Overheating,Medium,2026-08-05,2026-10-09,131,Pending,High,Medium,89.7,0,6,TDMS-WO-0016,Normal,Yes
TDMS,TDMS-0017,OHE-0017,Dehu Road,Manjari-Loni,Transformer,Fair,69,Section Insulator Damage,Medium,2026-07-24,2026-08-10,185,Pending,High,High,88.0,1,3,TDMS-WO-0017,Warning,Yes
TDMS,TDMS-0018,OHE-0018,Fursungi,Khadki-Dapodi,OHE,Good,85,OHE Wire Wear,Medium,2026-07-23,2026-08-13,130,Scheduled,Medium,Low,53.6,1,5,TDMS-WO-0018,Active Fault,No
TDMS,TDMS-0019,OHE-0019,Dapodi,Pune Jn-Ghorpuri,Section Insulator,Excellent,100,Insulator Fault,Low,2026-07-11,2026-09-03,75,Pending,Medium,High,62.2,0,5,TDMS-WO-0019,Normal,Yes
TDMS,TDMS-0020,OHE-0020,Hadapsar,Kasarwadi-Chinchwad,Transformer,Fair,70,Pantograph Interaction Issue,Low,2026-07-27,2026-10-09,196,Scheduled,Low,High,27.3,2,6,TDMS-WO-0020,Normal,No
TDMS,TDMS-0021,OHE-0021,Dapodi,Shivajinagar-Khadki,Transformer,Good,79,Section Insulator Damage,Low,2026-07-07,2026-07-23,224,In Progress,High,High,5.1,2,4,TDMS-WO-0021,Active Fault,No
TDMS,TDMS-0022,OHE-0022,Kasarwadi,Loni-Uruli,Traction Substation,Fair,57,Transformer Overheating,Medium,2026-08-11,2026-10-04,188,Pending,High,Medium,59.5,5,6,TDMS-WO-0022,Warning,Yes
TDMS,TDMS-0023,OHE-0023,Uruli,Fursungi-Manjari,OHE,Poor,45,Feeder Fault,Low,2026-08-08,2026-08-31,100,Pending,Critical,Low,29.5,2,9,TDMS-WO-0023,Active Fault,No
TDMS,TDMS-0024,OHE-0024,Pune Jn,Dapodi-Kasarwadi,Section Insulator,Good,88,Transformer Overheating,High,2026-07-06,2026-08-29,68,Scheduled,High,High,66.4,6,5,TDMS-WO-0024,Normal,Yes
